Episode,Steps,Reward,Avg_Reward,Epsilon,Waypoints,Completion
0,200,-9988.760716236302,-49.94380358118151,0.5,1,0.058823529411764705
1,200,-11550.536939924037,-57.75268469962018,0.45,2,0.11764705882352941
2,200,-8484.97849391906,-42.4248924695953,0.405,2,0.11764705882352941
3,200,-18249.28129150161,-91.24640645750806,0.36450000000000005,3,0.17647058823529413
4,200,-15251.729000283294,-76.25864500141647,0.32805000000000006,5,0.29411764705882354
5,200,-10058.71976135423,-50.29359880677115,0.2952450000000001,2,0.11764705882352941
6,200,-12849.94910899277,-64.24974554496386,0.2657205000000001,3,0.17647058823529413
7,200,-9490.326616971846,-47.45163308485923,0.23914845000000007,4,0.23529411764705882
8,200,-16165.839712674415,-80.82919856337207,0.21523360500000008,4,0.23529411764705882
9,200,-11028.934946371473,-55.144674731857364,0.19371024450000007,7,0.4117647058823529
10,200,-9420.009746709478,-47.10004873354739,0.17433922005000008,8,0.47058823529411764
11,200,-5390.632695690014,-26.95316347845007,0.15690529804500009,11,0.6470588235294118
12,200,-9701.848721353901,-48.5092436067695,0.14121476824050008,9,0.5294117647058824
13,200,-5992.850122517132,-29.964250612585662,0.12709329141645007,12,0.7058823529411765
14,200,-10583.408780441245,-52.917043902206224,0.11438396227480506,7,0.4117647058823529
