Episode,Steps,Reward,Avg_Reward,Epsilon,Waypoints,Completion
0,200,-10663.36181231456,-53.316809061572805,0.5,1,0.058823529411764705
1,200,-11524.165318965415,-57.62082659482708,0.45,2,0.11764705882352941
2,200,-15943.365207850404,-79.71682603925201,0.405,2,0.11764705882352941
3,200,-13819.151123110774,-69.09575561555387,0.36450000000000005,3,0.17647058823529413
4,200,-14317.473296874192,-71.58736648437096,0.32805000000000006,3,0.17647058823529413
5,200,-8248.077990448699,-41.2403899522435,0.2952450000000001,5,0.29411764705882354
6,200,-10430.018757566777,-52.15009378783388,0.2657205000000001,4,0.23529411764705882
7,200,-17374.46023526272,-86.8723011763136,0.23914845000000007,4,0.23529411764705882
8,200,-11296.822448029532,-56.48411224014766,0.21523360500000008,6,0.35294117647058826
9,200,-8992.17508976999,-44.96087544884995,0.19371024450000007,8,0.47058823529411764
10,200,-6708.888744166742,-33.54444372083371,0.17433922005000008,10,0.5882352941176471
11,200,-7672.3876474684375,-38.36193823734219,0.15690529804500009,9,0.5294117647058824
12,200,-12391.741163494982,-61.95870581747491,0.14121476824050008,7,0.4117647058823529
13,200,-5624.205068263546,-28.121025341317733,0.12709329141645007,9,0.5294117647058824
14,200,-5552.1298202960625,-27.76064910148031,0.11438396227480506,13,0.7647058823529411
15,200,-8609.582749987163,-43.047913749935816,0.10294556604732455,9,0.5294117647058824
16,200,-14628.243214284346,-73.14121607142174,0.0926510094425921,2,0.11764705882352941
17,200,-7497.353457429012,-37.486767287145064,0.08338590849833288,14,0.8235294117647058
18,200,-4440.851397277663,-22.204256986388312,0.0750473176484996,15,0.8823529411764706
19,200,-11531.876012673249,-57.65938006336624,0.06754258588364964,16,0.9411764705882353
20,200,-7441.1230004290865,-37.205615002145436,0.06078832729528468,15,0.8823529411764706
21,200,-9796.263550284531,-48.98131775142266,0.05470949456575622,14,0.8235294117647058
22,92,-601.8656518524464,-6.542017954917895,0.0492385451091806,17,1.0
23,62,-160.58075543297468,-2.5900121844028177,0.04431469059826254,17,1.0
24,88,-194.5535107340119,-2.2108353492501354,0.039883221538436285,17,1.0
25,72,-512.1478549803057,-7.1131646525042465,0.03589489938459266,17,1.0
26,36,647.7604736288298,17.993346489689717,0.032305409446133394,17,1.0
27,58,71.23640946984256,1.2282139563765957,0.029074868501520055,17,1.0
28,36,647.7604736288298,17.993346489689717,0.02616738165136805,17,1.0
29,40,563.2608030553125,14.081520076382812,0.023550643486231246,17,1.0
30,36,647.7604736288298,17.993346489689717,0.021195579137608122,17,1.0
31,36,647.7604736288298,17.993346489689717,0.01907602122384731,17,1.0
32,36,647.7604736288298,17.993346489689717,0.01716841910146258,17,1.0
33,36,647.7604736288298,17.993346489689717,0.015451577191316321,17,1.0
34,36,647.7604736288298,17.993346489689717,0.01390641947218469,17,1.0
35,36,647.7604736288298,17.993346489689717,0.012515777524966222,17,1.0
36,36,647.7604736288298,17.993346489689717,0.0112641997724696,17,1.0
37,36,647.7604736288298,17.993346489689717,0.010137779795222639,17,1.0
38,36,647.7604736288298,17.993346489689717,0.009124001815700375,17,1.0
39,36,649.4688549998396,18.040801527773322,0.009124001815700375,17,1.0
40,36,647.7604736288298,17.993346489689717,0.009124001815700375,17,1.0
41,60,-81.71121100607337,-1.3618535167678896,0.009124001815700375,17,1.0
42,40,604.967455510726,15.124186387768152,0.009124001815700375,17,1.0
43,36,647.7604736288298,17.993346489689717,0.009124001815700375,17,1.0
44,36,647.7604736288298,17.993346489689717,0.009124001815700375,17,1.0
45,36,647.7604736288298,17.993346489689717,0.009124001815700375,17,1.0
46,36,647.7604736288298,17.993346489689717,0.009124001815700375,17,1.0
47,36,647.7604736288298,17.993346489689717,0.009124001815700375,17,1.0
