Episode,Steps,Reward,Avg_Reward,Epsilon,Waypoints,Completion
0,200,-9594.886189518877,-47.974430947594385,0.5,2,0.11764705882352941
1,200,-10921.176409104493,-54.60588204552246,0.45,2,0.11764705882352941
2,200,-11235.078437235274,-56.17539218617637,0.405,3,0.17647058823529413
3,200,-15982.565379109656,-79.91282689554828,0.36450000000000005,3,0.17647058823529413
4,200,-8815.796406675738,-44.078982033378686,0.32805000000000006,4,0.23529411764705882
5,200,-15189.055834764335,-75.94527917382167,0.2952450000000001,4,0.23529411764705882
6,200,-12208.63902129512,-61.04319510647559,0.2657205000000001,5,0.29411764705882354
7,200,-17613.617559600498,-88.0680877980025,0.23914845000000007,5,0.29411764705882354
8,200,-15093.159744542718,-75.46579872271359,0.21523360500000008,6,0.35294117647058826
9,200,-13206.948719229846,-66.03474359614923,0.19371024450000007,7,0.4117647058823529
10,200,-11118.612396310382,-55.59306198155191,0.17433922005000008,8,0.47058823529411764
11,200,-9838.888151203233,-49.194440756016164,0.15690529804500009,7,0.4117647058823529
12,200,-4003.0808594665928,-20.015404297332964,0.14121476824050008,13,0.7647058823529411
13,200,-6383.456941070841,-31.917284705354206,0.12709329141645007,9,0.5294117647058824
14,200,-6114.614411283421,-30.573072056417104,0.11438396227480506,15,0.8823529411764706
15,200,-4830.9275720769,-24.1546378603845,0.10294556604732455,15,0.8823529411764706
16,200,-8974.260090337084,-44.87130045168542,0.0926510094425921,9,0.5294117647058824
17,114,-2753.98031268267,-24.157722041076052,0.08338590849833288,17,1.0
18,200,-11697.772044393032,-58.48886022196516,0.0750473176484996,5,0.29411764705882354
19,121,-3389.8792790706884,-28.01553123198916,0.06754258588364964,17,1.0
20,199,-7355.127950366267,-36.96044196163953,0.06078832729528468,17,1.0
21,111,-2482.7829881008047,-22.367414307214457,0.05470949456575622,17,1.0
22,55,359.6077351556612,6.538322457375658,0.0492385451091806,17,1.0
23,42,594.402035061662,14.152429406230047,0.04431469059826254,17,1.0
24,52,409.5129036529484,7.875248147172085,0.039883221538436285,17,1.0
25,40,614.1696998578257,15.354242496445641,0.03589489938459266,17,1.0
26,36,651.1598236851324,18.087772880142566,0.032305409446133394,17,1.0
27,36,649.3555273634287,18.03765353787302,0.029074868501520055,17,1.0
28,36,649.3555273634287,18.03765353787302,0.02616738165136805,17,1.0
29,38,633.1824491610572,16.662696030554137,0.023550643486231246,17,1.0
30,38,636.8174082536534,16.75835284878035,0.021195579137608122,17,1.0
31,38,630.96878778343,16.604441783774472,0.01907602122384731,17,1.0
32,36,649.3555273634287,18.03765353787302,0.01716841910146258,17,1.0
33,46,457.61970771747593,9.948254515597302,0.015451577191316321,17,1.0
34,36,649.3555273634287,18.03765353787302,0.01390641947218469,17,1.0
35,36,649.3555273634287,18.03765353787302,0.012515777524966222,17,1.0
36,38,623.3691901210057,16.404452371605412,0.0112641997724696,17,1.0
37,36,649.3555273634287,18.03765353787302,0.010137779795222639,17,1.0
38,38,615.0075918210235,16.184410311079567,0.009124001815700375,17,1.0
39,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
40,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
41,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
42,38,627.2060285509907,16.50542180397344,0.009124001815700375,17,1.0
43,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
44,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
45,38,628.0850763258417,16.52855464015373,0.009124001815700375,17,1.0
46,40,581.5295436417456,14.53823859104364,0.009124001815700375,17,1.0
47,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
48,64,-469.580941110853,-7.337202204857078,0.009124001815700375,17,1.0
49,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
50,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
51,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
52,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
53,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
54,40,602.8116387534619,15.070290968836549,0.009124001815700375,17,1.0
55,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
56,38,618.3497076306676,16.27236072712283,0.009124001815700375,17,1.0
57,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
58,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
59,38,624.6276271757459,16.43756913620384,0.009124001815700375,17,1.0
60,38,629.7282278735062,16.571795470355426,0.009124001815700375,17,1.0
61,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
62,70,-485.44857972895284,-6.934979710413612,0.009124001815700375,17,1.0
63,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
64,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
65,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
66,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
67,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
68,38,627.4891277122267,16.512871781900703,0.009124001815700375,17,1.0
69,62,-88.04401986264637,-1.4200648364942963,0.009124001815700375,17,1.0
70,48,334.1433120389854,6.961319000812196,0.009124001815700375,17,1.0
71,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
72,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
73,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
74,40,601.3930029131201,15.034825072828003,0.009124001815700375,17,1.0
75,38,620.2027343530187,16.321124588237335,0.009124001815700375,17,1.0
76,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
77,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
78,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
79,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
80,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
81,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
82,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
83,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
84,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
85,36,645.5964764504533,17.933235456957036,0.009124001815700375,17,1.0
86,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
87,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
88,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
89,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
90,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
91,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
92,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
93,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
94,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
95,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
96,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
97,42,591.6350868326922,14.08654968649267,0.009124001815700375,17,1.0
98,38,634.1836280869494,16.689042844393406,0.009124001815700375,17,1.0
99,36,649.3555273634287,18.03765353787302,0.009124001815700375,17,1.0
